,User_ID,Age,Gender,Occupation,Sleep_Hours,Daily_Screen_Hours,Weekend_Screen_Hours,Social_Media_Hours,Caffeine_Cups_Per_Day,Work_Productivity_Score,App_Usage_Count,Exercise_Hours_Per_Week,Daily_Work_Hours,Commute_Hours_Per_Day,Stress_Level,Stressed
1019,SR04246,48.0,male,business owner,5.0,8.5,12.5,0.5,3.0,7.0,29.0,2.0,12.0,0.5,10,1
1020,SR04620,19.0,female,student,7.5,6.0,8.0,5.5,2.0,7.0,52.0,3.1847368421052633,5.0,1.0,10,1
1021,SR04917,50.0,male,business owner,6.5,7.5,8.5,4.0,2.0,4.0,13.0,1.0,10.0,1.0,10,1
1022,SR00192,22.0,female,student,8.5,7.0,7.5,7.5,2.0,8.0,53.0,4.0,5.0,0.5,10,1
1023,SR04697,73.0,female,retired,7.5,3.0,3.5,2.66384778012685,2.0,6.0,15.0,3.0,2.0,0.0,5,0
1024,SR01785,25.0,male,young professional,6.5,7.5,9.0,2.0,3.0,1.0,33.0,4.0,7.0,1.5,10,1
1025,SR01533,26.0,female,teacher,9.5,2.5,2.5,5.0,3.0,7.0,20.0,1.0,7.0,0.0,6,0
1026,SR02835,39.0,female,retired,8.0,2.5,2.0,3.0,3.0,8.0,16.0,4.0,2.0,0.0,2,0
1027,SR04445,72.0,male,retired,7.5,4.0,4.5,2.0,2.0,8.0,21.0,6.0,2.0,0.0,3,0
1028,SR04916,43.0,female,young professional,7.5,13.5,15.0,4.0,4.0,8.0,62.0,3.0,7.138232953037941,0.0,10,1
1029,SR01599,74.0,female,retired,8.0,1.5,2.5,3.0,2.0,8.0,25.0,4.0,0.0,0.0,3,0
1031,SR04901,29.0,male,teacher,6.0,3.0,5.0,6.0,4.0,6.0,27.0,5.0,9.0,0.5,8,0
1032,SR02575,30.0,male,business owner,5.0,7.0,6.5,4.5,4.0,3.0,38.81610529844234,6.0,14.0,0.0,10,1
1033,SR03399,19.0,male,young professional,4.5,8.5,12.0,5.0,4.0,8.0,32.0,1.0,9.0,0.5,10,1
1034,SR03976,26.0,female,student,8.0,6.0,7.856266889086016,2.0,4.0,3.0,32.0,1.0,2.0,0.5,10,0
1035,SR03771,26.0,male,teacher,5.0,6.5,7.0,0.0,3.0,6.0,34.0,3.1847368421052633,8.0,0.5,10,1
1036,SR00167,55.0,female,retired,6.5,6.0,7.0,0.0,3.0,5.0,19.0,3.0,3.0,0.5,5,0
1038,SR01480,41.0,other,teacher,7.0,4.5,5.5,0.5,2.0,9.0,35.0,1.0,9.0,0.5,10,1
1039,SR01025,52.0,male,retired,9.5,3.0,3.928133444543008,1.0,0.0,5.0,12.0,3.0,7.138232953037941,1.0,3,0
1040,SR01789,70.0,male,retired,8.0,1.5,1.0,3.0,0.0,6.0,25.0,5.0,5.0,0.5827832057037232,3,0
1042,SR02474,38.0,male,business owner,4.5,5.5,8.0,6.5,3.0,5.0,48.0,3.0,8.0,0.0,10,1
1043,SR01823,69.0,male,retired,6.0,2.5,4.5,0.0,0.0,9.0,9.0,7.0,1.0,0.0,4,0
1044,SR01221,19.0,other,student,6.5,7.0,11.0,4.5,1.0,4.0,48.0,3.0,5.0,0.5827832057037232,10,1
1045,SR01667,19.0,male,student,5.5,6.0,8.5,1.5,0.0,6.0,47.0,4.0,6.0,0.5,10,1
1046,SR02961,51.0,male,business owner,7.5,9.0,12.0,4.5,2.0,7.0,31.0,2.0,10.0,0.5,10,0
1047,SR00153,25.0,male,teacher,6.5,1.0,3.0,3.0,5.0,7.0,20.0,4.0,6.0,0.0,6,0
1048,SR02535,55.0,female,healthcare worker,3.5,5.5,7.0,1.5,6.0,4.0,36.0,0.0,12.0,0.5,10,0
1049,SR04689,21.0,female,student,5.5,5.5,8.5,1.5,4.0,9.0,24.0,0.0,6.0,0.5,10,0
1051,SR01470,52.0,female,retired,8.0,4.0,5.237511259390677,0.0,1.0,9.0,34.0,0.0,2.0,0.0,10,1
1052,SR02808,26.0,male,young professional,4.5,10.0,13.5,2.0,0.0,8.0,34.0,3.1847368421052633,8.0,1.5,10,1
1053,SR02513,50.0,female,young professional,0.5,3.5,6.5,3.0,3.0,3.0,11.0,9.0,7.0,1.5,10,1
1055,SR02981,25.0,other,teacher,6.5,3.0,4.5,1.5,0.0,6.0,24.0,7.0,11.0,0.5,6,1
1058,SR01567,25.0,female,healthcare worker,4.5,3.5,4.5828223519668425,3.0,3.0,7.0,22.0,5.0,14.0,1.5,10,1
1059,SR00032,60.0,male,retired,7.5,4.0,4.5,2.0,1.0,7.0,16.0,7.0,0.0,0.0,3,0
1060,SR00938,54.0,male,retired,7.5,2.0,4.5,5.5,1.0,8.0,15.0,5.0,5.0,0.0,3,0
1061,SR01216,40.0,female,healthcare worker,5.5,4.5,6.0,2.5,4.0,5.0,17.0,8.0,9.0,1.5,10,1
1062,SR01938,20.0,male,student,7.0,4.5,4.0,2.66384778012685,0.0,8.0,37.0,1.0,3.0,0.5,10,1
1063,SR01130,21.0,male,student,8.0,9.5,12.0,4.5,0.0,6.0,20.0,2.0,7.0,1.0,10,1
1064,SR00310,28.0,female,teacher,8.5,3.5,4.0,2.0,3.0,6.0,14.0,4.0,9.0,0.5,4,0
1066,SR02169,20.0,other,student,6.0,8.0,11.5,5.0,0.0,4.0,21.0,6.0,7.138232953037941,1.0,10,1
1067,SR03114,40.0,female,freelancer,7.5,7.5,9.0,2.66384778012685,3.0,6.0,62.0,6.0,5.0,1.0,10,1
1068,SR00496,51.0,female,teacher,7.0,5.0,8.5,2.5,2.0,6.0,39.0,4.0,8.0,0.0,10,1
1069,SR00206,22.0,other,healthcare worker,6.5,7.5,11.0,3.5,5.0,6.0,19.0,6.0,13.0,1.5,10,1
1070,SR02674,35.0,male,retired,3.5,1.5,1.5,0.0,1.0,8.0,23.0,8.0,2.0,0.5,10,1
1071,SR03358,20.0,male,student,3.5,10.5,14.0,2.5,3.0,3.0,33.0,2.0,8.0,1.0,10,1
1072,SR03831,32.0,male,student,4.0,10.5,15.0,3.0,0.0,6.0,30.0,6.0,5.0,0.0,10,1
1073,SR00306,59.0,other,young professional,6.5,6.0,6.5,1.5,1.0,6.0,39.0,6.0,8.0,1.5,10,1
1074,SR03794,20.0,other,student,9.5,7.5,10.5,4.0,0.0,6.0,44.0,3.0,5.0,0.0,10,1
1075,SR02202,19.0,male,student,7.0,5.5,6.0,3.5,1.0,7.0,40.0,0.0,6.0,1.0,10,1
1076,SR01062,21.0,other,student,9.5,4.5,4.5,3.5,2.0,6.0,29.778541640831243,6.0,3.0,0.0,8,0
1077,SR00844,25.0,female,healthcare worker,6.5,4.5,5.892200166814512,3.5,5.0,8.0,36.0,1.0,13.0,0.5,10,1
1078,SR03873,20.0,female,student,6.5,7.0,9.5,5.5,1.0,3.0,29.0,4.0,6.0,0.0,10,0
1079,SR02252,34.0,other,business owner,5.5,9.0,12.5,5.0,6.0,3.0,50.0,1.0,7.138232953037941,1.0,10,1
1080,SR00212,22.0,female,student,9.0,4.0,4.0,2.0,3.0,8.0,14.0,3.0,7.0,0.5,3,0
1082,SR00680,36.0,male,teacher,7.0,5.5,7.0,5.5,0.0,5.0,6.0,4.0,7.138232953037941,1.0,8,0
1083,SR00566,20.0,male,retired,7.0,1.5,2.5,2.5,1.0,7.0,27.0,2.0,8.0,0.0,6,0
1084,SR03291,63.0,female,retired,7.5,6.5,9.5,0.0,0.0,8.0,31.0,3.0,0.0,1.0,7,0
1086,SR00681,55.0,female,young professional,9.5,10.0,14.0,3.0,2.0,10.0,25.0,3.0,9.0,0.5,10,1
1087,SR00181,20.0,male,teacher,6.0,4.0,6.5,4.0,2.0,5.0,3.0,3.0,7.0,0.5,6,0
1088,SR04280,33.0,female,young professional,7.0,9.5,11.5,0.0,2.0,10.0,17.0,3.0,9.0,0.0,10,1
1089,SR02496,27.0,male,healthcare worker,7.5,6.0,6.5,1.5,0.0,8.0,23.0,6.0,9.0,1.0,2,0
1091,SR04274,30.0,male,retired,7.0,3.0,5.0,2.5,1.0,7.0,6.0,6.0,3.0,0.5,5,0
1092,SR00279,37.0,female,business owner,8.5,7.5,10.5,4.5,1.0,4.0,30.0,0.0,16.0,0.5,10,1
1093,SR03684,62.0,female,freelancer,7.5,3.0,3.928133444543008,0.0,0.0,6.0,46.0,6.0,7.0,0.5,10,1
1094,SR04763,25.0,male,young professional,8.5,5.5,7.0,4.0,3.0,8.0,46.0,5.0,10.0,0.0,10,1
1095,SR00433,20.0,female,student,6.0,5.5,7.0,4.0,3.0,4.0,45.0,3.1847368421052633,4.0,0.5,10,1
1096,SR00290,62.0,male,retired,11.0,1.0,1.5,3.0,0.0,7.0,37.0,3.1847368421052633,3.0,1.0,7,0
1097,SR01028,36.0,other,business owner,6.0,7.5,11.0,4.5,2.0,8.0,21.0,3.0,10.0,1.0,10,1
1098,SR00536,36.0,male,teacher,8.5,6.5,7.5,0.0,0.0,5.0,18.0,1.0,8.0,1.0,6,0
1100,SR00189,25.0,male,young professional,7.0,8.0,11.0,3.5,3.0,7.0,52.0,3.0,11.0,1.0,10,1
1101,SR02175,41.0,female,business owner,7.0,11.5,15.0,2.66384778012685,3.0,6.0,26.0,0.0,12.0,1.0,10,1
1102,SR03916,57.0,female,young professional,4.5,4.0,5.0,1.0,7.0,6.0,27.0,8.0,7.0,0.0,10,1
1103,SR01863,54.0,female,retired,4.5,7.0,11.0,1.5,2.0,4.0,43.0,4.0,1.0,0.0,10,1
1104,SR00271,39.0,male,healthcare worker,4.5,4.0,5.237511259390677,2.0,1.0,8.0,20.0,4.0,9.0,0.5827832057037232,10,1
1105,SR01729,20.0,other,student,6.0,10.0,14.0,7.0,1.0,5.0,31.0,5.0,6.0,1.0,10,1
1106,SR04076,23.0,other,student,5.5,9.0,11.5,3.0,2.0,8.0,22.0,7.0,7.0,0.5,10,1
1107,SR02158,25.0,male,business owner,8.5,8.0,11.0,4.5,5.0,8.0,23.0,4.0,14.0,0.0,10,1
1108,SR03932,18.0,male,student,6.0,4.0,5.5,4.0,0.0,8.0,32.0,0.0,5.0,0.0,10,1
1112,SR00628,28.0,other,freelancer,8.5,5.0,4.5,4.5,4.0,6.0,23.0,6.0,9.0,0.5,3,0
1114,SR03382,20.0,other,student,7.0,7.0,9.0,4.5,0.0,5.0,44.0,2.0,6.0,1.5,10,1
1115,SR02423,54.0,female,healthcare worker,4.5,3.5,7.0,2.66384778012685,5.0,10.0,13.0,3.1847368421052633,7.138232953037941,0.5,10,1
1116,SR00791,35.0,male,retired,8.5,6.5,7.0,5.5,0.0,10.0,3.0,6.0,0.0,0.0,5,0
1117,SR04276,75.0,male,retired,10.0,1.5,1.964066722271504,1.0,0.0,9.0,3.0,4.0,1.0,0.0,0,1
1119,SR04403,73.0,male,retired,8.0,6.5,8.0,2.0,0.0,8.0,18.0,2.0,0.0,0.0,5,0
1120,SR00552,59.0,female,teacher,8.0,2.5,4.5,3.5,2.0,8.0,35.0,7.0,6.0,0.5,6,0
1121,SR03130,34.0,male,freelancer,8.5,9.5,12.439089241052859,4.0,4.0,6.0,37.0,4.0,7.0,0.0,10,1
1122,SR01445,35.0,male,young professional,6.0,3.5,2.5,4.0,4.0,6.0,36.0,0.0,12.0,1.0,10,0
1124,SR02590,20.0,male,healthcare worker,7.0,4.0,5.5,1.5,4.0,6.0,3.0,3.0,7.0,1.0,5,0
1125,SR00403,39.0,female,young professional,5.0,6.5,8.5,3.5,2.0,9.0,36.0,4.0,8.0,1.0,10,1
1126,SR03960,67.0,male,retired,8.0,3.0,5.0,1.0,3.0,7.0,18.308234867329062,3.0,2.0,1.0,3,0
1127,SR04190,74.0,female,business owner,7.0,3.0,4.0,1.5,3.0,8.0,13.0,1.0,11.0,1.0,7,0
1128,SR04764,28.0,male,young professional,6.0,4.5,5.5,4.5,4.0,7.0,25.0,3.0,9.0,1.0,8,0
1129,SR02096,38.0,female,business owner,7.0,4.5,5.892200166814512,6.0,2.0,8.0,26.0,6.0,13.0,0.5,7,0
1131,SR04463,20.0,other,healthcare worker,8.5,1.0,1.0,2.5,4.0,9.0,10.0,3.0,14.0,1.0,5,0
1132,SR00651,22.0,female,student,5.5,11.5,15.057844870748198,2.0,0.0,5.0,52.0,0.0,8.0,1.0,10,1
1133,SR00709,27.0,other,young professional,3.0,5.0,7.0,2.5,1.0,5.0,46.0,1.0,10.0,2.0,10,1
1134,SR01481,40.0,other,freelancer,8.5,6.5,9.0,6.0,2.0,3.0,16.0,2.0,7.0,1.0,10,1
1135,SR04415,37.0,other,teacher,5.5,7.0,8.0,3.5,0.0,9.0,29.0,3.0,3.0,0.5,10,1
1137,SR02396,27.0,female,freelancer,5.5,4.5,6.5,3.5,3.0,6.0,53.0,3.0,6.0,0.0,10,1
1138,SR01770,27.0,female,young professional,7.0,9.0,13.0,5.5,3.0,3.0,36.0,2.0,10.0,1.0,10,1
1139,SR00315,66.0,female,freelancer,5.5,7.5,9.0,2.5,2.0,3.0,26.0,4.0,8.0,0.0,10,0
1141,SR04910,36.0,male,teacher,8.0,8.0,11.0,0.0,0.0,7.0,24.0,0.0,9.0,0.0,8,0
1142,SR00114,22.0,female,young professional,8.0,8.0,10.0,1.0,1.0,5.0,31.0,5.0,9.0,1.0,10,1
1143,SR00961,43.0,male,retired,8.0,9.0,11.784400333629025,3.0,0.0,5.0,31.0,3.1847368421052633,3.0,0.0,10,1
1144,SR02911,62.0,male,business owner,6.0,7.5,9.5,6.5,2.0,9.0,42.0,2.0,11.0,1.0,10,1
1145,SR03406,27.0,other,student,7.5,9.0,10.5,5.5,0.0,4.0,34.0,2.0,5.0,0.0,10,1
1146,SR01624,28.0,female,retired,5.5,2.0,3.0,1.5,1.0,9.0,22.656683831748538,5.0,2.0,0.0,6,0
1147,SR03323,49.0,male,teacher,7.5,6.0,7.5,4.0,2.0,6.0,40.0,3.0,12.0,0.0,10,1
1148,SR05000,43.0,female,business owner,6.5,10.0,15.0,1.5,4.0,7.0,13.0,4.0,8.0,1.0,10,1
1149,SR01819,43.0,male,retired,8.0,3.0,3.0,0.0,0.0,8.0,47.0,3.0,4.0,0.5,10,1
1150,SR03195,23.0,female,student,4.5,5.0,6.5,4.0,1.0,5.0,37.0,3.0,5.0,0.0,10,1
1151,SR03008,32.0,male,business owner,6.5,8.0,9.0,3.0,3.0,6.0,45.0,2.0,11.0,0.0,10,1
1152,SR03415,25.0,male,young professional,6.5,5.5,8.0,3.0,3.0,6.0,36.0,2.0,8.0,1.0,10,0
1154,SR01898,73.0,male,business owner,5.5,7.0,8.5,3.0,2.0,6.0,43.0,4.0,10.0,0.0,10,1
1155,SR01919,21.0,male,student,6.0,10.0,13.5,2.5,1.0,4.0,32.0,9.0,6.0,0.0,10,0
1156,SR01271,33.0,male,teacher,9.0,7.5,10.0,3.5,1.0,7.0,22.0,5.0,5.0,1.0,6,0
1157,SR04177,27.0,other,young professional,7.0,8.5,8.5,4.0,3.0,5.0,37.637609291023985,2.0,7.0,1.0,10,1
1158,SR04963,69.0,male,retired,7.0,2.0,1.0,1.0,0.0,9.0,14.0,5.0,0.0,0.0,6,0
1159,SR04884,56.0,female,young professional,6.0,5.5,9.5,0.5,5.0,7.0,30.0,2.0,9.0,0.5,10,1
1160,SR04095,28.0,other,young professional,5.0,4.5,7.0,4.0,3.0,9.0,33.0,1.0,6.0,1.0,10,1
1162,SR01814,57.0,female,business owner,4.5,6.0,8.5,3.0,4.0,7.0,26.77259045933825,5.0,9.0,0.0,10,1
1163,SR02427,29.0,male,teacher,8.5,6.5,8.5,4.0,1.0,6.0,30.0,4.0,6.0,0.5827832057037232,10,0
1164,SR03951,21.0,other,student,6.0,8.0,11.0,3.5,0.0,8.0,49.0,0.0,11.0,0.5,10,0
1165,SR04429,28.0,male,retired,8.5,1.0,1.0,0.5,0.0,4.0,30.0,0.0,0.0,0.0,8,1
1166,SR02143,52.0,other,retired,4.5,6.0,9.5,0.0,1.0,7.0,9.0,2.0,7.0,0.0,10,1
1167,SR01627,42.0,other,freelancer,8.0,1.0,1.0,1.0,3.0,6.0,58.0,5.0,9.0,0.5,10,1
1168,SR00790,28.0,female,healthcare worker,9.5,3.5,3.5,2.5,4.0,5.0,29.0,0.0,8.0,1.0,7,0
1169,SR03787,79.0,female,retired,6.0,6.5,6.5,0.0,0.0,6.0,28.0,7.0,1.0,0.0,8,0
1170,SR01865,37.0,male,business owner,5.5,8.5,10.5,5.5,4.0,7.0,33.0,4.0,9.0,0.5,10,1
1171,SR02866,19.0,male,young professional,6.0,6.0,8.0,0.5,3.0,7.0,47.0,0.0,6.0,0.5,10,1
1172,SR00872,72.0,other,retired,7.5,2.5,5.5,2.0,2.0,8.0,20.0,9.0,0.0,0.0,1,0
1173,SR03272,37.0,male,business owner,5.5,11.0,15.0,1.0,3.0,6.0,36.0,5.0,10.0,1.0,10,1
1174,SR03834,29.0,female,young professional,8.0,6.0,8.0,1.0,4.0,4.0,37.0,2.0,7.0,1.0,10,1
1175,SR00074,22.0,other,student,8.0,8.5,12.0,2.5,3.0,7.0,50.0,2.0,5.0,0.5,10,0
1176,SR01753,26.0,other,young professional,8.5,6.5,8.0,2.5,3.0,6.0,31.0,2.0,9.0,1.5,10,0
1177,SR01422,72.0,other,retired,10.5,5.5,7.0,1.0,0.0,8.0,18.0,2.0,0.0,0.5,4,0
1178,SR04222,29.0,female,young professional,6.0,5.0,5.5,0.0,3.0,8.0,37.0,2.0,9.0,1.0,10,0
1179,SR04694,20.0,female,student,10.0,4.0,5.0,1.5,1.0,9.0,40.0,5.0,5.0,0.5,6,0
1180,SR04370,75.0,male,retired,6.5,3.0,4.5,2.5,0.0,9.0,14.0,3.0,0.0,0.0,7,0
1181,SR04576,20.0,male,freelancer,4.0,6.5,8.0,3.0,3.0,10.0,24.0,5.0,11.0,0.0,10,1
1182,SR03810,41.0,female,teacher,9.5,3.5,5.0,6.5,6.0,6.0,23.0,0.0,9.0,1.5,7,1
1183,SR02245,37.0,male,freelancer,10.0,6.0,9.0,4.5,4.0,5.0,28.0,5.0,9.0,0.0,4,0
1184,SR03048,50.0,other,business owner,4.5,8.0,11.0,7.5,0.0,6.0,27.0,4.0,11.0,0.5,10,1
1187,SR03131,36.0,male,retired,6.5,3.0,5.0,2.0,1.0,7.0,3.0,2.0,0.0,0.5,5,0
1189,SR04398,78.0,female,healthcare worker,7.5,7.0,10.5,1.5,5.0,7.0,46.0,7.0,12.0,0.0,10,1
1190,SR01165,26.0,female,business owner,7.5,5.0,5.5,1.5,5.0,6.0,33.0,0.0,8.0,0.0,10,1
1191,SR03735,39.0,female,business owner,7.5,6.5,8.0,1.5,5.0,5.0,34.0,5.0,11.0,0.0,10,1
1192,SR01731,33.0,male,young professional,5.5,7.5,11.5,3.5,4.0,4.0,34.0,4.0,7.0,1.5,10,1
1193,SR04813,26.0,male,freelancer,8.0,5.5,7.0,3.0,2.0,3.0,54.0,2.0,10.0,1.0,10,0
1194,SR02403,41.0,female,business owner,8.0,6.5,6.5,1.5,5.0,8.0,14.0,6.0,12.0,0.5,3,0
1195,SR03404,77.0,female,retired,5.5,4.0,5.0,2.66384778012685,2.0,6.0,23.0,2.0,3.0,0.0,6,0
1196,SR00619,27.0,female,young professional,3.0,6.5,10.0,4.0,0.0,8.0,20.0,3.0,9.0,1.0,10,1
1197,SR01698,21.0,female,student,8.0,6.5,10.0,0.0,1.0,6.0,41.0,1.0,3.0,0.0,10,1
1198,SR03594,19.0,female,student,5.5,4.5,7.0,1.0,4.0,3.0,42.0,2.0,6.0,0.5,10,1
1199,SR01958,33.0,female,teacher,6.0,6.0,8.0,0.0,4.0,6.0,28.0,6.0,7.0,0.5,9,0
1200,SR01222,53.0,female,teacher,9.5,5.0,5.5,2.66384778012685,1.0,6.0,26.333449924401954,2.0,5.0,0.0,5,0
1201,SR02074,38.0,other,freelancer,5.5,8.0,10.0,0.5,6.0,5.0,45.0,1.0,9.0,0.0,10,1
1202,SR03411,20.0,other,healthcare worker,4.5,6.0,7.856266889086016,3.5,5.0,5.0,16.0,5.0,14.0,0.5,10,1
1203,SR00870,20.0,female,student,6.5,5.0,7.0,5.0,3.0,7.0,52.0,4.0,5.0,1.0,10,1
1204,SR02719,39.0,male,healthcare worker,5.0,5.5,8.5,2.0,3.0,8.0,7.0,2.0,11.0,1.0,10,1
1205,SR01043,30.0,female,freelancer,9.0,11.5,13.0,3.5,3.0,4.0,39.0,5.0,5.0,0.0,10,1
1207,SR00357,75.0,male,retired,5.5,6.5,8.0,1.0,0.0,6.0,13.0,2.0,4.0,0.0,8,0
1209,SR02766,22.0,male,student,7.0,7.5,7.5,3.5,2.0,7.0,42.0,3.0,6.0,1.0,10,1
1210,SR03253,77.0,other,business owner,6.5,4.0,5.0,4.5,3.0,5.0,25.827960695523238,1.0,12.0,1.0,10,1
1211,SR01439,19.0,male,young professional,5.5,4.0,6.5,4.0,3.0,9.0,29.0,2.0,5.0,1.0,10,1
1212,SR03604,48.0,female,teacher,6.0,7.0,9.0,3.0,1.0,6.0,26.0,9.0,6.0,0.5,9,1
1213,SR04941,22.0,male,young professional,6.0,9.0,10.5,4.5,4.0,7.0,47.0,3.0,9.0,2.0,10,1
1214,SR04594,37.0,male,healthcare worker,7.0,3.0,4.0,1.5,5.0,6.0,19.0,0.0,11.0,1.0,6,0
1215,SR03640,52.0,male,freelancer,7.5,8.0,10.5,1.5,4.0,7.0,39.0,4.0,5.0,0.5,10,1
1216,SR01254,57.0,female,healthcare worker,6.0,7.0,8.0,0.0,5.0,5.0,43.0,3.0,9.0,0.5,10,1
1217,SR03366,55.0,female,retired,6.5,6.5,9.0,1.5,2.0,8.0,23.0,1.0,1.0,0.5,6,0
1218,SR00333,18.0,female,student,8.5,7.0,9.5,0.0,2.0,7.0,24.0,4.0,7.0,0.5,7,0
1220,SR03569,61.0,male,retired,10.0,1.5,1.0,2.0,1.0,9.0,6.0,2.0,2.0,0.0,3,0
1221,SR02729,23.0,male,student,8.0,5.0,5.5,2.5,3.0,6.0,55.0,5.0,3.0,1.0,10,1
1222,SR03668,73.0,female,retired,7.5,3.5,2.5,0.0,1.0,7.0,39.0,5.0,3.0,0.5,10,1
1223,SR01631,31.0,male,business owner,7.0,5.0,7.0,4.5,0.0,5.0,34.0,0.0,9.0,0.5,10,1
1224,SR01117,27.0,female,healthcare worker,6.5,5.0,6.546889074238347,0.5,4.0,7.0,22.0,3.0,12.0,0.5,10,0
1225,SR01850,30.0,female,healthcare worker,6.5,7.5,9.82033361135752,4.0,2.0,7.0,32.0,3.0,8.0,1.5,10,1
1226,SR03555,28.0,male,business owner,6.0,12.0,15.0,2.0,1.0,7.0,40.0,4.0,9.0,0.5,10,1
1228,SR03266,40.0,female,business owner,6.0,7.5,9.82033361135752,2.5,2.0,8.0,50.0,3.0,14.0,0.5,10,1
1229,SR01666,59.0,male,retired,7.0,6.0,6.5,0.0,3.0,6.0,34.0,8.0,0.0,0.0,9,0
1231,SR02246,19.0,female,student,5.0,6.5,8.5,2.0,0.0,6.0,35.52968977012368,1.0,6.0,0.5,10,1
1232,SR00453,19.0,female,student,7.5,9.5,10.5,4.0,2.0,4.0,43.0,2.0,8.0,0.0,10,1
1233,SR01552,42.0,female,retired,6.0,1.5,1.964066722271504,0.0,2.0,7.0,12.0,1.0,1.0,1.0,6,0
1234,SR04435,32.0,male,young professional,6.5,5.5,9.0,5.0,3.0,6.0,28.0,1.0,11.0,1.5,10,1
1237,SR03629,29.0,female,healthcare worker,7.0,2.5,5.0,2.66384778012685,2.0,7.0,31.13653162629189,3.0,14.0,0.0,9,1
1238,SR00946,40.0,female,student,6.0,4.5,5.5,3.5,0.0,9.0,7.0,0.0,5.0,0.0,6,0
1239,SR00248,25.0,female,young professional,8.0,3.5,4.0,2.5,2.0,4.0,53.0,4.0,7.0,1.0,10,1
1240,SR04698,18.0,female,student,6.5,8.5,12.0,2.66384778012685,2.0,4.0,53.0,1.0,7.0,0.0,10,1
1242,SR04657,55.0,male,healthcare worker,7.0,1.5,2.5,0.5,3.0,7.0,12.0,7.0,9.0,1.5,4,0
1243,SR01615,39.0,female,healthcare worker,5.0,5.5,9.0,1.5,5.0,5.0,22.0,5.0,9.0,0.0,10,1
1246,SR03169,18.0,female,retired,7.5,2.5,2.5,2.0,0.0,8.0,13.0,5.0,7.0,0.0,3,0
1247,SR02479,18.0,female,student,3.5,7.5,11.0,3.0,0.0,4.0,41.0,1.0,5.0,1.0,10,1
1248,SR04215,53.0,female,teacher,7.0,4.5,5.0,1.5,0.0,8.0,20.0,1.0,6.0,1.0,6,0
1250,SR04885,27.0,male,freelancer,7.0,7.0,9.5,2.66384778012685,2.0,6.0,36.799641737049384,0.0,10.0,0.0,10,1
1251,SR03164,48.0,female,healthcare worker,5.5,4.0,3.5,1.0,5.0,7.0,31.0,3.0,7.0,0.5,10,1
1252,SR00491,21.0,female,healthcare worker,6.0,3.5,7.0,3.0,2.0,8.0,50.0,4.0,10.0,1.5,10,1
1253,SR00863,22.0,male,student,6.5,9.5,12.439089241052859,4.5,3.0,4.0,26.0,5.0,6.0,1.0,10,1
1255,SR04100,69.0,female,retired,8.0,3.0,4.0,1.5,1.0,8.0,7.0,6.0,0.0,1.0,2,1
1257,SR02448,23.0,other,young professional,8.5,7.5,7.5,1.5,5.0,7.0,33.0,7.0,8.0,1.0,7,0
1259,SR00507,20.0,male,student,8.5,9.5,11.5,6.5,3.0,7.0,38.0,0.0,6.0,0.0,10,0
1260,SR02678,73.0,male,retired,8.0,5.0,6.5,0.0,0.0,8.0,38.0,3.0,2.0,0.5,10,1
1262,SR01943,26.0,female,young professional,9.0,5.0,8.5,2.0,2.0,6.0,33.0,1.0,8.0,0.5,9,1
1263,SR01223,19.0,female,young professional,8.0,7.0,9.165644703933685,0.5,1.0,8.0,28.0,1.0,11.0,1.0,10,0
1266,SR03424,37.0,male,young professional,9.5,6.0,6.5,4.5,2.0,8.0,44.0,4.0,8.0,0.0,10,1
1267,SR01878,72.0,male,retired,8.0,6.0,8.0,3.0,0.0,7.0,22.0,2.0,0.0,0.0,6,0
1268,SR04673,32.0,male,teacher,5.5,2.5,5.5,1.5,2.0,8.0,30.0,2.0,7.138232953037941,0.0,10,1
1269,SR00434,18.0,female,healthcare worker,3.0,2.0,2.5,1.5,2.0,9.0,24.0,4.0,8.0,0.5,10,1
1270,SR02365,40.0,other,business owner,7.0,7.0,9.0,3.0,3.0,5.0,44.0,5.0,12.0,0.0,10,1
1271,SR03155,20.0,female,student,7.5,7.0,8.0,1.5,3.0,6.0,57.0,3.0,6.0,1.0,10,1
1272,SR02836,27.0,other,young professional,5.0,6.0,11.0,0.0,0.0,8.0,41.0,0.0,13.0,0.5,10,1
1273,SR02093,53.0,male,teacher,8.5,1.0,3.0,1.0,2.0,7.0,18.0,5.0,7.0,0.5,2,0
1274,SR03011,55.0,male,retired,9.0,2.5,3.5,1.5,0.0,9.0,3.0,7.0,7.138232953037941,0.0,0,0
1275,SR03163,79.0,male,retired,7.0,3.0,2.5,0.0,3.0,10.0,26.0,3.0,0.0,0.0,5,1
1276,SR02946,20.0,other,student,6.0,7.5,9.0,4.0,3.0,4.0,37.0,6.0,4.0,0.5827832057037232,10,1
1278,SR02917,19.0,female,student,7.0,9.5,12.5,3.5,0.0,5.0,45.0,4.0,5.0,0.5,10,1
1279,SR01103,18.0,male,student,7.5,5.5,6.5,2.0,6.0,9.0,46.0,3.0,4.0,0.0,10,1
1280,SR01449,22.0,other,freelancer,4.5,4.5,5.0,3.0,1.0,4.0,65.0,6.0,12.0,0.5,10,1
1283,SR03843,19.0,female,student,5.5,8.0,12.0,6.5,3.0,7.0,42.0,4.0,7.138232953037941,0.5,10,1
